,Median earnings 2017,Population 2017
524,22654,65462
525,31533,2313230
526,35623,240369
527,27123,145484
528,25433,261935
529,56213,105105
530,38439,106656
531,24747,83081
532,24477,253887
533,22742,142699
534,46308,181330
535,46941,69007
536,31363,143822
537,46041,136090
538,21484,84428
539,41557,72519
540,36086,82306
541,38616,70446
542,34504,117105
543,27180,153533
544,54439,125198
545,24503,79491
546,50628,285312
547,40847,116783
548,36943,123560
549,28254,94940
550,29668,1511913
551,54042,88488
552,30932,74494
553,53127,115097
554,26763,104998
555,29965,67102
556,22257,136437
557,26512,104745
558,32120,76694
559,26532,87037
560,23866,97840
561,15429,117331
562,26231,84390
563,31105,200538
564,37320,96146
565,50295,70953
566,32266,113921
567,30624,136166
568,54026,160035
569,69451,234965
570,46155,78355
571,40292,240397
572,36478,70223
573,29576,134669
574,19765,80995
575,31163,179388
576,26247,244703
577,29922,94572
578,28264,227032
579,28662,99837
580,37271,90237
581,36753,450435
582,36916,79619
583,73092,144459
584,29717,89044
585,33500,110086
586,35160,96691
587,28934,81601
588,35437,128463
589,62493,88630
590,41718,68859
591,30544,67205
592,40733,101372
593,51851,724764
594,30417,217096
595,30968,97858
596,35783,213426
597,34927,175661
598,25435,93669
599,32316,73984
600,27679,69835
601,29731,105114
602,29704,99875
603,32303,255239
604,27798,595365
605,28201,66668
606,28813,77555
607,37579,72483
